parent_code,child_code
CNDGT_ENV_OTH,slc.12.898.01
CNDGT_ENV_OTH,slc.12.898.02
CNDGT_ENV_OTH,slc.12.898.03
CNDGT_ENV_OTH,slc.12.898.04
CNDGT_ENV_OTH,slc.12.898.05
CNDGT_ENV_OTH,slc.12.898.06
CNDGT_ENV_OTH,slc.12.898.07
CNDGT,CNDGT_HTH
CNDGT_HTH,CNDGT_HTH_PUB
CNDGT_HTH_PUB,slc.12.1010.01
CNDGT_HTH_PUB,slc.12.1010.02
CNDGT_HTH_PUB,slc.12.1010.03
CNDGT_HTH_PUB,slc.12.1010.04
CNDGT_HTH_PUB,slc.12.1010.05
CNDGT_HTH_PUB,slc.12.1010.06
CNDGT_HTH_PUB,slc.12.1010.07
CNDGT_HTH,CNDGT_HTH_HSP
CNDGT_HTH_HSP,slc.12.1020.01
CNDGT_HTH_HSP,slc.12.1020.02
CNDGT_HTH_HSP,slc.12.1020.03
CNDGT_HTH_HSP,slc.12.1020.04
CNDGT_HTH_HSP,slc.12.1020.05
CNDGT_HTH_HSP,slc.12.1020.06
CNDGT_HTH_HSP,slc.12.1020.07
CNDGT_HTH,CNDGT_HTH_ABS
CNDGT_HTH_ABS,slc.12.1030.01
CNDGT_HTH_ABS,slc.12.1030.02
CNDGT_HTH_ABS,slc.12.1030.03
CNDGT_HTH_ABS,slc.12.1030.04
CNDGT_HTH_ABS,slc.12.1030.05
CNDGT_HTH_ABS,slc.12.1030.06
CNDGT_HTH_ABS,slc.12.1030.07
CNDGT_HTH,CNDGT_HTH_ABD
CNDGT_HTH_ABD,slc.12.1035.01
CNDGT_HTH_ABD,slc.12.1035.02
CNDGT_HTH_ABD,slc.12.1035.03
CNDGT_HTH_ABD,slc.12.1035.04
CNDGT_HTH_ABD,slc.12.1035.05
CNDGT_HTH_ABD,slc.12.1035.06
CNDGT_HTH_ABD,slc.12.1035.07
CNDGT_HTH,CNDGT_HTH_CEM
CNDGT_HTH_CEM,slc.12.1040.01
CNDGT_HTH_CEM,slc.12.1040.02
CNDGT_HTH_CEM,slc.12.1040.03
CNDGT_HTH_CEM,slc.12.1040.04
CNDGT_HTH_CEM,slc.12.1040.05
CNDGT_HTH_CEM,slc.12.1040.06
CNDGT_HTH_CEM,slc.12.1040.07
CNDGT_HTH,CNDGT_HTH_OTH
CNDGT_HTH_OTH,slc.12.1098.01
CNDGT_HTH_OTH,slc.12.1098.02
CNDGT_HTH_OTH,slc.12.1098.03
CNDGT_HTH_OTH,slc.12.1098.04
CNDGT_HTH_OTH,slc.12.1098.05
CNDGT_HTH_OTH,slc.12.1098.06
CNDGT_HTH_OTH,slc.12.1098.07
CNDGT,CNDGT_FAM
CNDGT_FAM,CNDGT_FAM_GEN
CNDGT_FAM_GEN,slc.12.1210.01
CNDGT_FAM_GEN,slc.12.1210.02
CNDGT_FAM_GEN,slc.12.1210.03
CNDGT_FAM_GEN,slc.12.1210.04
CNDGT_FAM_GEN,slc.12.1210.05
CNDGT_FAM_GEN,slc.12.1210.06
CNDGT_FAM_GEN,slc.12.1210.07
CNDGT_FAM,CNDGT_FAM_AGE
CNDGT_FAM_AGE,slc.12.1220.01
CNDGT_FAM_AGE,slc.12.1220.02
CNDGT_FAM_AGE,slc.12.1220.03
CNDGT_FAM_AGE,slc.12.1220.04
CNDGT_FAM_AGE,slc.12.1220.05
CNDGT_FAM_AGE,slc.12.1220.06
CNDGT_FAM_AGE,slc.12.1220.07
CNDGT_FAM,CNDGT_FAM_CHD
CNDGT_FAM_CHD,slc.12.1230.01
CNDGT_FAM_CHD,slc.12.1230.02
CNDGT_FAM_CHD,slc.12.1230.03
CNDGT_FAM_CHD,slc.12.1230.04
CNDGT_FAM_CHD,slc.12.1230.05
CNDGT_FAM_CHD,slc.12.1230.06
CNDGT_FAM_CHD,slc.12.1230.07
CNDGT_FAM,CNDGT_FAM_OTH
CNDGT_FAM_OTH,slc.12.1298.01
CNDGT_FAM_OTH,slc.12.1298.02
CNDGT_FAM_OTH,slc.12.1298.03
CNDGT_FAM_OTH,slc.12.1298.04
CNDGT_FAM_OTH,slc.12.1298.05
CNDGT_FAM_OTH,slc.12.1298.06
CNDGT_FAM_OTH,slc.12.1298.07
CNDGT,CNDGT_HOU
CNDGT_HOU,CNDGT_HOU_PUB
CNDGT_HOU_PUB,slc.12.1410.01
CNDGT_HOU_PUB,slc.12.1410.02
CNDGT_HOU_PUB,slc.12.1410.03
CNDGT_HOU_PUB,slc.12.1410.04
CNDGT_HOU_PUB,slc.12.1410.05
CNDGT_HOU_PUB,slc.12.1410.06
CNDGT_HOU_PUB,slc.12.1410.07
CNDGT_HOU,CNDGT_HOU_COP
CNDGT_HOU_COP,slc.12.1420.01
CNDGT_HOU_COP,slc.12.1420.02
CNDGT_HOU_COP,slc.12.1420.03
CNDGT_HOU_COP,slc.12.1420.04
CNDGT_HOU_COP,slc.12.1420.05
CNDGT_HOU_COP,slc.12.1420.06
CNDGT_HOU_COP,slc.12.1420.07
CNDGT_HOU,CNDGT_HOU_RNT
CNDGT_HOU_RNT,slc.12.1430.01
CNDGT_HOU_RNT,slc.12.1430.02
CNDGT_HOU_RNT,slc.12.1430.03
CNDGT_HOU_RNT,slc.12.1430.04
CNDGT_HOU_RNT,slc.12.1430.05
CNDGT_HOU_RNT,slc.12.1430.06
CNDGT_HOU_RNT,slc.12.1430.07
CNDGT_HOU,CNDGT_HOU_OT1
CNDGT_HOU_OT1,slc.12.1497.01
CNDGT_HOU_OT1,slc.12.1497.02
CNDGT_HOU_OT1,slc.12.1497.03
